,Elevation,Latent Variable 1,Latent Variable 2,Latent Variable 3
502,506.0,0.183833,0.279904,1.273531
503,61.0,0.180598,2.692194,0.749927
504,189.0,0.0,2.592852,4.173375
505,11.0,2.287135,3.797294,3.498627
506,751.0,3.95997,3.352625,5.890305
507,13.0,3.70005,4.648451,3.839995
509,93.0,1.540974,0.928869,3.263562
511,125.0,4.667283,6.300756,5.318161
512,62.0,2.377385,2.148148,2.702277
514,728.0,1.908628,2.21861,1.336435
515,12.0,0.826137,0.691065,3.038104
516,396.0,3.013061,4.201869,4.2281
517,79.0,5.546527,6.012352,4.635277
518,121.0,3.630543,2.660932,1.81487
519,15.0,2.871448,0.422161,2.374213
520,287.0,2.446063,2.094454,5.761917
521,751.0,2.909809,1.594378,3.321839
522,654.0,2.940146,2.125877,2.74916
523,190.0,1.519706,5.131319,2.044915
524,387.0,2.531155,1.28394,3.383305
525,1289.0,5.584208,1.015215,1.002806
526,874.0,1.41951,4.247611,6.966014
528,1029.0,0.258973,1.408221,0.94961
529,287.0,0.7762,0.0,1.509437
530,287.0,0.525431,0.025913,4.639318
531,95.0,1.646969,4.580338,8.849482
533,62.0,0.505777,1.597271,0.0
535,12.0,5.068176,4.188694,3.673057
536,396.0,2.618299,3.772833,4.670699
537,13.0,3.909694,1.889644,4.517444
538,173.0,2.130762,0.99603,1.73944
539,329.0,0.731794,2.842284,0.306905
540,9.0,2.427132,5.294116,6.64334
541,287.0,1.696931,0.238897,1.078552
543,121.0,3.903022,2.9879,6.423757
544,849.0,2.391476,2.939586,2.201432
545,405.0,0.581407,0.0,1.573557
546,171.0,8.327662,4.354443,1.788191
547,189.0,0.53942,5.413989,2.846521
548,446.0,0.85178,1.080458,6.080766
549,171.0,3.039122,1.845816,2.828799
550,20.0,3.350011,4.155985,4.824252
551,10.0,0.826157,0.460704,1.48225
552,229.0,3.054219,2.335048,6.801205
553,60.0,2.033843,1.590235,3.633761
554,20.0,1.3593,0.574454,2.245862
555,137.0,2.41675,3.142845,2.584596
556,5.0,6.541574,6.430552,5.1434
557,790.0,3.051649,5.601835,2.286152
558,10.0,4.774425,7.264109,1.834714
559,874.0,1.118268,3.692424,0.0
560,1134.0,0.836142,2.397786,1.415688
561,872.0,0.799072,0.371811,2.112884
563,405.0,3.006976,4.441792,4.150725
565,1134.0,0.086395,4.14724,3.321574
566,350.0,0.82795,2.574823,4.973946
567,137.0,6.399468,2.108365,4.063192
568,10.0,2.125771,3.726977,1.373335
569,1134.0,4.755897,1.296538,4.324058
570,329.0,0.0,5.439267,6.833848
571,751.0,3.381902,0.504179,3.81192
572,215.0,1.801861,2.007156,2.255724
573,20.0,0.986168,0.0,1.005281
574,5.0,0.425812,4.147184,0.768696
575,1625.0,1.060076,1.204132,2.359073
576,91.0,4.634632,3.475263,3.858941
577,62.0,4.309293,2.461673,2.270331
579,357.0,1.528116,3.351033,1.6181
580,345.0,0.870788,1.519512,1.861087
581,11.0,2.590651,0.402574,3.639154
582,446.0,5.987828,1.281752,0.385172
583,245.0,1.985018,3.433334,1.745743
584,357.0,1.274256,0.0,2.329034
585,53.0,3.174629,3.53849,2.850657
586,849.0,1.723292,1.938956,1.761564
587,13.0,5.469053,3.593596,7.364616
588,1029.0,2.245714,3.263913,3.970206
589,13.0,4.100929,3.713826,3.014151
591,396.0,1.851293,0.841859,5.362213
593,1099.0,0.979515,2.091207,1.743802
595,178.0,3.029908,4.689601,1.402835
596,1289.0,1.461611,0.0,4.703762
597,10.0,3.957095,3.630353,3.172527
598,1029.0,0.0,1.454745,1.400407
599,396.0,1.364821,2.520428,2.585076
600,11.0,2.605352,1.254365,6.636356
601,270.0,2.132325,2.64512,3.842572
602,178.0,3.256328,1.277525,1.85295
603,15.0,5.589964,2.438589,4.878163
604,1134.0,1.352519,0.077392,1.750198
605,189.0,0.488851,4.203287,1.490696
606,359.0,2.557252,3.148719,3.132229
608,1475.0,0.691866,0.0,2.460668
609,13.0,1.32004,1.571005,0.09914
610,387.0,1.973766,2.718501,2.819038
611,359.0,1.435835,1.668465,2.941868
612,173.0,5.912377,7.904644,1.489108
613,1625.0,0.267815,0.848837,0.524977
614,751.0,3.324199,6.216134,5.653402
615,79.0,4.78527,6.385242,3.334925
616,16.0,1.998286,1.334253,2.122984
617,79.0,3.498522,2.075388,3.118431
619,171.0,2.372137,0.045209,2.331236
620,215.0,0.453768,1.582087,1.046006
621,13.0,4.643835,3.58653,5.489231
622,91.0,3.940621,3.20332,3.466159
623,62.0,0.520784,6.292651,5.378104
624,125.0,1.568518,3.083122,8.704582
625,180.0,2.432928,1.640295,4.665284
626,229.0,2.06374,4.341505,6.33226
627,1475.0,0.142778,2.544132,1.687254
628,1029.0,0.0,1.489946,1.929832
629,3.0,8.475318,2.248355,2.699332
630,270.0,5.235837,6.518769,2.886406
631,5.0,4.121543,2.399529,3.926403
632,1289.0,0.473091,3.149353,4.14132
633,1252.0,0.459746,2.474986,0.777609
634,1608.0,0.993334,0.938615,1.669012
635,190.0,2.837439,4.503281,2.968407
636,1029.0,0.247996,2.396858,3.925618
637,1516.0,0.0,0.785638,1.041316
638,79.0,2.513865,0.988182,3.9381
640,446.0,1.401964,2.429746,6.597816
641,1516.0,0.237365,2.798102,3.329876
642,872.0,1.552796,0.035404,1.110284
643,872.0,3.510299,0.061776,1.621307
644,178.0,1.465417,0.827355,1.728292
645,12.0,2.774832,1.854586,4.247453
646,387.0,2.709219,0.36273,2.606505
647,13.0,7.374128,6.722024,0.494967
648,245.0,4.803542,2.050416,4.510328
649,7.0,6.145489,3.380934,5.070016
650,270.0,3.742655,4.635911,5.344838
651,446.0,0.363598,5.365577,2.485025
652,189.0,0.956463,5.481942,1.988178
653,137.0,4.880326,3.897197,5.099196
655,61.0,0.560516,4.133979,4.107688
656,446.0,1.216715,5.330242,1.972413
657,62.0,5.320765,6.404182,5.245235
658,189.0,0.559711,6.033402,5.784512
659,214.0,2.12631,4.163648,1.790112
660,359.0,4.824607,4.828122,4.290635
661,654.0,2.35184,5.20709,1.764429
662,1625.0,0.0,3.099189,1.962496
663,215.0,4.491502,5.292861,6.0354
664,79.0,3.025163,2.095443,4.129725
665,313.0,2.041194,5.149202,5.457026
666,872.0,2.329237,1.722222,2.959129
667,137.0,4.935111,2.150535,4.610412
668,15.0,0.620839,0.487643,1.297526
670,506.0,1.29169,1.059853,3.285078
672,171.0,4.603025,2.581237,6.021569
673,125.0,2.082423,4.000831,4.920283
674,1625.0,0.165125,1.481906,6.078177
675,849.0,0.270334,1.162267,0.499162
676,1029.0,0.982865,0.614798,3.497036
679,1099.0,3.849352,0.728521,2.971828
681,1608.0,1.151606,0.339027,2.113533
682,173.0,5.611733,5.454746,7.488436
683,53.0,2.447704,5.755767,1.685369
684,506.0,1.541099,2.957109,5.136192
685,229.0,3.676907,3.361236,3.435611
687,270.0,2.906144,6.140146,2.330413
688,171.0,3.391339,4.518505,6.085609
689,178.0,1.063262,3.685439,4.297847
690,654.0,1.798027,0.680139,0.266052
691,345.0,3.072522,3.360919,4.462767
692,11.0,6.608637,5.551521,5.189221
693,215.0,0.514848,3.318679,7.939451
694,359.0,4.791127,6.267692,3.626171
695,697.0,4.387246,0.747862,4.371453
696,1289.0,0.074567,0.556337,1.848478
698,1619.0,1.320284,6.186937,7.549639
699,357.0,0.537814,3.940119,2.725353
700,317.0,0.0,0.662761,1.492572
701,387.0,3.270112,2.981981,5.877188
702,11.0,4.353806,2.916512,5.183726
703,345.0,4.482595,1.920843,5.63041
704,345.0,2.780795,0.232136,2.889493
705,1289.0,1.771596,3.238008,5.266985
706,62.0,2.091925,1.148856,1.615313
707,178.0,3.510272,2.510452,6.756423
708,190.0,1.133369,3.449675,3.619658
709,79.0,4.926733,4.28392,3.327855
710,10.0,4.994419,6.550275,3.819797
711,872.0,4.238956,5.330215,5.095773
712,178.0,3.215739,1.314227,3.709204
713,654.0,1.135985,1.748781,3.121634
714,178.0,4.489954,4.851415,5.295975
717,751.0,2.997981,0.948679,3.504266
718,137.0,2.680908,0.08955,1.697873
719,229.0,1.491164,6.21841,1.813278
720,60.0,0.44156,2.386476,0.210123
721,171.0,4.182814,3.91986,5.048657
722,728.0,4.268365,1.34546,2.880614
723,1475.0,1.893703,1.134344,5.169165
724,62.0,0.555844,4.076016,6.064099
725,5.0,2.509161,3.487403,8.280358
726,654.0,4.981978,5.054238,0.0
727,93.0,4.972307,6.062232,3.825477
728,350.0,0.920762,3.729142,5.570136
729,728.0,0.54458,3.95944,8.600557
730,11.0,3.110028,3.732728,2.053608
731,654.0,1.552026,2.683097,3.44768
732,506.0,4.115571,2.843865,1.40932
733,506.0,0.101289,3.788427,2.98389
734,728.0,2.529336,2.604061,2.306977
735,137.0,4.047946,1.982216,5.838784
736,446.0,1.596465,2.98701,1.964303
737,5.0,3.517314,2.373719,4.152822
739,121.0,4.859255,4.719407,5.638258
740,5.0,5.109257,5.634572,5.773999
741,317.0,3.450111,2.804221,2.939752
742,1475.0,0.017927,2.009363,1.680848
743,79.0,1.292403,1.829352,2.559992
744,1608.0,0.420446,4.320182,1.72491
745,5.0,5.749988,2.099619,4.705431
746,1289.0,2.011717,1.883335,4.933673
747,270.0,3.441502,2.610625,6.047514
748,91.0,3.584774,1.962197,1.575508
749,9.0,2.719325,1.410741,3.787014
750,1625.0,0.792014,0.0,2.123818
751,245.0,1.752962,6.922679,4.229749
752,229.0,5.581303,7.354625,1.726397
753,5.0,4.926494,4.833798,7.493358
754,697.0,5.522247,1.115487,3.689639
755,317.0,3.831448,6.116341,3.314564
757,1099.0,0.73096,4.18681,3.041401
759,12.0,4.103888,6.863324,2.587529
760,60.0,1.804681,4.294614,6.949826
762,62.0,0.0,4.241017,5.69147
763,287.0,2.298697,1.390046,2.046333
764,317.0,0.441903,0.141826,2.241159
765,405.0,7.685886,2.945984,4.844644
766,53.0,6.656601,6.127203,3.846364
767,245.0,7.123914,8.176444,2.709568
768,214.0,2.421536,3.639328,1.320387
770,405.0,2.480352,2.482044,3.126646
771,190.0,0.85905,4.256801,7.188249
772,215.0,4.786745,4.977327,7.102769
773,697.0,3.60674,0.922915,3.595685
774,93.0,2.835471,5.210198,2.470922
775,405.0,0.0,2.334064,3.85273
777,751.0,2.879394,0.614453,4.847355
778,245.0,3.424862,1.974961,3.191735
779,215.0,0.212522,5.40625,4.687654
780,5.0,3.938753,5.057021,2.753985
781,728.0,1.209789,4.093787,4.936381
782,171.0,2.580919,4.438269,3.420722
783,15.0,5.206435,6.267612,2.573759
784,189.0,2.076633,0.936837,0.925162
785,214.0,1.325856,0.455197,0.894646
786,654.0,2.91122,6.796243,2.421154
787,270.0,1.500299,0.0,3.622892
788,9.0,0.948195,0.609448,3.035838
789,872.0,4.216733,2.890795,1.968333
790,61.0,2.343933,3.428227,6.261404
791,697.0,1.988127,1.135084,2.123696
792,95.0,4.757759,5.08261,3.613546
794,180.0,5.169143,6.476318,0.845031
795,15.0,8.742066,3.886642,3.464695
796,10.0,7.688739,6.671567,1.367063
797,1099.0,2.168723,2.076591,2.191623
798,3.0,3.807632,2.34211,3.385892
799,16.0,1.050047,2.529862,5.78798
800,405.0,1.223246,2.424323,8.543592
801,270.0,4.111979,4.649961,4.709507
802,79.0,4.871599,2.679933,6.625467
803,171.0,5.181512,5.018536,4.302038
804,329.0,2.490835,4.308354,6.364592
805,121.0,8.080978,5.531837,0.720234
806,287.0,1.282368,4.076805,8.35885
807,1134.0,2.199726,2.665987,6.78757
808,229.0,1.65495,1.913154,5.668962
809,60.0,6.365186,6.504737,4.102858
810,190.0,0.320185,3.767646,7.500073
811,16.0,1.306143,1.741157,2.217207
813,9.0,0.0,5.420232,4.702471
814,387.0,2.615386,2.474196,6.839717
815,79.0,5.830858,5.549751,3.616255
816,849.0,2.814006,2.443722,3.268898
817,405.0,0.505458,1.299199,6.290176
818,171.0,0.799381,3.578405,1.129802
819,37.0,6.14571,5.288122,3.598484
820,1252.0,1.833055,2.360315,2.037894
821,697.0,2.23275,1.75428,4.338441
822,9.0,1.421211,1.577098,2.871287
823,16.0,6.820107,4.896693,4.557991
824,121.0,3.434572,3.271197,5.571253
825,359.0,2.457685,3.105691,2.236476
826,178.0,4.493506,5.241338,4.466887
827,245.0,2.778595,1.179501,4.813849
828,287.0,0.673187,0.268705,0.655033
829,874.0,0.0,3.448405,7.98406
830,329.0,1.171633,3.002395,6.422993
831,9.0,3.585594,1.905872,4.101152
832,329.0,2.72314,3.762074,4.569796
833,189.0,1.568397,1.881542,4.645342
834,506.0,2.238996,2.424968,3.803462
835,1099.0,1.570392,0.286806,3.363577
836,329.0,3.267363,3.294719,5.620056
837,229.0,0.264224,2.930344,6.637779
838,357.0,3.164576,4.429935,3.17009
839,350.0,2.955847,4.148654,4.16483
840,79.0,5.444166,4.262383,5.86613
841,16.0,2.213313,1.935348,4.848829
842,1608.0,3.313122,2.0611,4.883707
843,728.0,0.875617,3.001851,5.580302
844,171.0,4.651929,2.668015,5.975015
846,180.0,5.0254,2.081072,1.024112
848,1608.0,1.54197,0.280193,2.832868
849,359.0,4.390768,4.573191,3.289572
850,287.0,2.657801,4.17054,2.445504
851,446.0,0.361048,4.960705,3.04432
852,700.0,1.166749,1.763123,2.658732
853,1625.0,0.955566,1.776157,3.938095
854,317.0,0.726794,6.740672,3.587912
855,125.0,3.068311,4.743931,5.67716
856,329.0,0.0,0.943408,1.118088
857,5.0,8.569869,3.741601,0.848229
858,171.0,6.378041,8.684943,0.777951
859,270.0,0.75848,0.355707,1.696825
860,790.0,1.632909,0.0,1.378798
862,125.0,1.874247,4.454816,1.34155
863,125.0,1.630147,2.301069,1.148925
864,350.0,0.509618,1.740528,2.396978
865,15.0,4.52484,3.206184,4.876849
866,874.0,3.460787,2.352457,3.325952
867,1516.0,2.344311,4.435933,3.677593
868,313.0,3.659556,2.078839,3.665825
869,20.0,6.036915,2.261248,0.579454
870,9.0,2.318095,3.88487,6.519352
871,270.0,2.562802,2.750097,2.718682
873,446.0,0.256098,4.55285,7.533748
874,1475.0,3.410929,1.351866,5.546247
875,313.0,5.190823,5.087226,5.520741
876,245.0,4.296865,6.917421,2.874148
877,171.0,4.381347,4.086675,4.57414
878,10.0,5.273578,7.237474,3.350474
879,214.0,2.27768,1.625285,1.764889
880,189.0,0.552846,4.616237,0.724051
881,345.0,2.695652,2.834795,8.516354
882,396.0,0.356327,0.972054,4.886002
883,317.0,4.264446,3.559492,5.277218
884,849.0,2.761634,2.538817,5.068799
885,849.0,2.013996,0.371578,4.427756
886,405.0,2.668309,0.757129,4.126111
887,1608.0,1.692244,1.785074,2.983536
888,95.0,4.135803,3.187237,3.550559
889,173.0,3.822681,3.007375,2.88627
890,11.0,1.961521,2.149545,4.893734
891,1029.0,1.697566,2.931533,3.419023
893,357.0,1.967068,2.891827,1.968601
894,874.0,1.232656,0.121925,2.907761
895,215.0,2.153529,6.216328,3.386251
896,125.0,5.046623,5.261896,3.646803
897,313.0,1.29281,0.117025,2.088347
898,10.0,3.59717,4.068081,5.030362
899,11.0,3.63588,3.727175,3.128914
900,1099.0,0.785346,5.380808,5.57058
901,16.0,2.278524,5.672234,1.562949
902,79.0,4.661654,3.389189,5.602079
903,317.0,5.926504,4.000605,4.179941
904,13.0,5.875611,3.682634,3.580932
905,178.0,4.614595,3.95391,6.336526
906,13.0,8.614163,6.530448,3.246358
907,5.0,5.367709,3.772265,5.84321
908,872.0,3.197878,1.081558,5.921261
909,359.0,3.602723,5.630763,1.28479
910,180.0,0.956525,5.001798,2.394447
911,13.0,3.914383,2.683851,4.548228
912,215.0,0.228148,3.372227,0.552637
913,16.0,3.488815,1.897297,6.114039
914,751.0,2.771997,2.140916,1.340359
915,178.0,2.596503,1.932925,1.71185
916,12.0,1.532049,6.854375,5.402803
917,329.0,1.823268,4.516172,2.685239
918,654.0,7.816269,4.92074,0.389779
920,214.0,1.304315,1.819726,7.364832
921,9.0,0.94401,4.583946,1.342322
922,173.0,3.756737,1.426765,2.930636
923,359.0,1.482211,1.200935,5.519573
924,13.0,3.089458,4.034687,3.259518
925,10.0,4.706766,6.449921,3.386348
926,178.0,5.563315,4.978478,5.50264
927,446.0,5.402342,3.633151,6.987187
928,93.0,4.203611,5.512855,6.476203
929,874.0,0.690855,4.563145,3.393572
930,357.0,2.507298,2.373922,4.947454
931,1252.0,1.095893,1.26631,3.294456
932,7.0,5.105016,3.831378,5.035551
933,654.0,2.806536,6.823314,0.257911
934,13.0,5.418192,5.533641,5.117188
935,1619.0,1.515112,2.659435,6.435969
936,5.0,4.659906,5.040009,4.19307
937,178.0,1.988838,4.956206,3.838431
938,13.0,4.005312,2.410077,5.476988
939,790.0,1.557199,6.295871,1.51728
941,357.0,1.882394,1.664512,1.332469
943,190.0,2.577226,3.550736,3.973321
944,1029.0,0.049332,3.890019,2.544445
945,357.0,0.514226,2.914423,2.374249
946,1252.0,2.084708,0.78512,5.735461
947,317.0,6.574179,4.565372,4.92596
948,12.0,4.258053,1.127905,1.395548
949,357.0,3.036295,2.555565,3.180163
950,13.0,4.776847,2.117008,3.243325
951,10.0,4.251182,2.70331,2.291931
952,1289.0,0.0,2.526222,1.954809
953,245.0,5.175144,6.438578,0.659168
954,3.0,3.633216,1.104306,2.499678
955,790.0,2.671669,3.469014,2.923907
956,345.0,4.765794,4.943532,3.965289
957,287.0,3.84301,3.397517,4.242675
958,728.0,0.39363,6.811903,6.358438
959,700.0,0.705495,0.0,1.753756
960,13.0,4.209358,4.117232,5.120197
962,60.0,2.447656,3.093991,6.366073
963,180.0,1.780263,0.743961,2.567967
964,345.0,2.028482,0.0,1.00921
965,37.0,8.293528,6.432275,2.931244
966,697.0,4.762542,4.409077,6.312817
967,1099.0,3.818885,4.14342,4.490426
968,20.0,4.09963,4.506207,3.365909
969,350.0,0.194682,0.71584,2.045252
970,62.0,2.830794,5.631081,7.44681
971,10.0,3.165346,3.671083,4.856778
972,345.0,5.091048,4.897095,4.31953
973,345.0,2.138468,1.785106,2.517221
974,697.0,3.522208,1.200995,4.781868
975,790.0,0.801788,4.166643,3.776471
976,270.0,5.191853,6.33341,6.686584
977,345.0,2.559711,3.446449,1.783224
978,1516.0,1.102717,5.623922,1.132933
979,171.0,2.814523,3.491179,8.089627
980,751.0,5.121753,5.027762,4.658635
981,11.0,5.054275,2.500679,4.141875
982,345.0,3.793851,5.28371,4.334989
983,95.0,0.832129,0.588952,2.605862
985,53.0,5.710114,6.660563,3.140127
986,697.0,3.088835,4.156528,4.475991
987,350.0,0.878955,0.569369,2.872213
988,387.0,1.901187,2.94595,5.396542
989,405.0,0.888725,5.062014,4.887637
991,62.0,0.0,1.188531,2.277004
992,446.0,1.688734,1.603806,1.20179
993,1475.0,2.999587,1.960077,4.979952
995,178.0,3.638849,1.182491,3.126369
996,5.0,6.419981,5.670564,4.035132
997,91.0,4.18131,5.780272,3.466772
998,20.0,0.77833,4.575561,5.250448
